2.03x,"rgb(145, 62, 248)",2024-07-25 11:59:22
4.11x,"rgb(145, 62, 248)",2024-07-25 11:59:55
6.61x,"rgb(145, 62, 248)",2024-07-25 12:00:28
5.76x,"rgb(145, 62, 248)",2024-07-25 12:01:00
3.10x,"rgb(145, 62, 248)",2024-07-25 12:02:04
1.34x,"rgb(52, 180, 255)",2024-07-25 12:02:04
13.12x,"rgb(192, 23, 180)",2024-07-25 12:02:35
2.28x,"rgb(145, 62, 248)",2024-07-25 12:02:35
1.47x,"rgb(52, 180, 255)",2024-07-25 12:02:35
2.36x,"rgb(145, 62, 248)",2024-07-25 12:03:06
3.38x,"rgb(145, 62, 248)",2024-07-25 12:03:06
8.15x,"rgb(145, 62, 248)",2024-07-25 12:03:06
37.18x,"rgb(192, 23, 180)",2024-07-25 12:03:06
1.88x,"rgb(52, 180, 255)",2024-07-25 12:03:36
2.64x,"rgb(145, 62, 248)",2024-07-25 12:03:36
15.18x,"rgb(192, 23, 180)",2024-07-25 12:03:36
1.02x,"rgb(52, 180, 255)",2024-07-25 12:03:36
2.73x,"rgb(145, 62, 248)",2024-07-25 12:04:08
2.61x,"rgb(145, 62, 248)",2024-07-25 12:04:08
1.85x,"rgb(52, 180, 255)",2024-07-25 12:04:08
1.60x,"rgb(52, 180, 255)",2024-07-25 12:04:08
5.79x,"rgb(145, 62, 248)",2024-07-25 12:04:08
6.31x,"rgb(145, 62, 248)",2024-07-25 14:16:30
1.06x,"rgb(52, 180, 255)",2024-07-25 14:16:30
1.27x,"rgb(52, 180, 255)",2024-07-25 14:16:30
1.84x,"rgb(52, 180, 255)",2024-07-25 14:16:31
1.31x,"rgb(52, 180, 255)",2024-07-25 14:16:32
1.10x,"rgb(52, 180, 255)",2024-07-25 14:16:38
6.39x,"rgb(145, 62, 248)",2024-07-25 14:16:40
1.20x,"rgb(52, 180, 255)",2024-07-25 14:16:41
1.70x,"rgb(52, 180, 255)",2024-07-25 14:16:42
1.24x,"rgb(52, 180, 255)",2024-07-25 14:16:45
1.98x,"rgb(52, 180, 255)",2024-07-25 14:16:46
1.63x,"rgb(52, 180, 255)",2024-07-25 14:16:46
1.65x,"rgb(52, 180, 255)",2024-07-25 14:16:47
2.06x,"rgb(145, 62, 248)",2024-07-25 14:16:48
3.42x,"rgb(145, 62, 248)",2024-07-25 14:16:50
1.88x,"rgb(52, 180, 255)",2024-07-25 14:16:51
1.02x,"rgb(52, 180, 255)",2024-07-25 14:16:51
1.00x,"rgb(52, 180, 255)",2024-07-25 14:16:52
1.69x,"rgb(52, 180, 255)",2024-07-25 14:16:52
3.62x,"rgb(145, 62, 248)",2024-07-25 14:16:52
1.06x,"rgb(52, 180, 255)",2024-07-25 14:16:53
4.47x,"rgb(145, 62, 248)",2024-07-25 14:16:55
4.14x,"rgb(145, 62, 248)",2024-07-25 14:16:56
1.45x,"rgb(52, 180, 255)",2024-07-25 14:16:57
1.30x,"rgb(52, 180, 255)",2024-07-25 14:16:59
5.92x,"rgb(145, 62, 248)",2024-07-25 14:17:00
1.26x,"rgb(52, 180, 255)",2024-07-25 14:17:00
3.16x,"rgb(145, 62, 248)",2024-07-25 14:37:49
1.16x,"rgb(52, 180, 255)",2024-07-25 14:37:49
1.09x,"rgb(52, 180, 255)",2024-07-25 14:37:49
30.61x,"rgb(192, 23, 180)",2024-07-25 14:37:50
1.17x,"rgb(52, 180, 255)",2024-07-25 14:37:51
1.07x,"rgb(52, 180, 255)",2024-07-25 14:37:55
6.41x,"rgb(145, 62, 248)",2024-07-25 14:38:03
1.21x,"rgb(52, 180, 255)",2024-07-25 14:38:03
1.18x,"rgb(52, 180, 255)",2024-07-25 14:38:08
